Band,Album,Date Published,Nerd Date
Royal Hunt,XIII Devil’s Dozen,2015-8-28,3649795200
Amorphis,Under the Red Cloud,2015-8-31,3650054400
Nechochwen,Heart of Akamon,2015-9-11,3651004800
My Dying Bride,Feel the Misery,2015-9-14,3651264000
Queensrÿche,Condition Hüman,2015-9-17,3651523200
Sabbath Assembly,Sabbath Assembly,2015-9-20,3651782400
Ares Kingdom,The Unburiable Dead,2015-9-25,3652214400
Gloryhammer,Space 1992: Rise of the Chaos Wizards,2015-9-27,3652387200
Gorod,A Maze of Recycled Creeds,2015-10-5,3653078400
He Whose Ox Is Gored,"The Camel, The Lion, The Child",2015-10-5,3653078400
Satan,Atom By Atom,2015-10-8,3653337600
The Black Dahlia Murder,Abysmal,2015-10-12,3653683200
Pseudo/Sentai,Bansheeface,2015-10-12,3653683200
Deafheaven,New Bermuda,2015-10-13,3653769600
Enshine,Singularity,2015-10-14,3653856000
Lik,Mass Funeral Evocation,2015-10-15,3653942400
Dead to a Dying World,Litany,2015-10-18,3654201600
Vhöl,Deeper Than Sky,2015-10-20,3654374400
Horrendous,Anareta,2015-10-21,3654460800
Panopticon,Autumn Eternal,2015-10-22,3654547200
Vehemence,Forward Without Motion,2015-10-24,3654720000
Killing Joke,Pylon,2015-10-25,3654806400
Draconian,Sovran,2015-10-26,3654892800
Avatarium,The Girl With the Raven Mask,2015-10-29,3655152000
Beaten to Death,Unplugged,2015-10-29,3655152000
Kampfar,Profan,2015-11-15,3656620800
Nightfell,Darkness Evermore,2015-11-16,3656707200
Wailin Storms,One Foot in the Flesh Grave,2015-11-21,3657139200
Un,The Tomb of All Things,2015-12-2,3658089600
Dodsferd,Wastes of Life,2015-12-6,3658435200
Jess and the Ancient Ones,Second Psychedelic Coming: The Aquarius Tapes,2015-12-9,3658694400
Nar Mattaru,Ancient Atomic Warfare,2015-12-10,3658780800
Gygax,Critical Hits,2016-1-12,3661632000
Gomorrah,The Haruspex,2016-1-18,3662150400
Abbath,Abbath,2016-1-20,3662323200
Chthe’ilist,Le Dernier Crépuscule,2016-1-25,3662755200
Mortuary,Nothingless than Nothingness,2016-1-27,3662928000
Megadeth,Dystopia,2016-1-31,3663273600
